id,author,img,keywords,provider,pubDate,status,subcategoryid,subcategorycode,subcategoryname,title,topic,type,url
5a4a32ef670c7645a286b5f7,Jon Fingas,,"celebrity, chrissy teigen, conspiracy, gear, internet, john legend, lizcrokin, social network, social networking, twitter, verification, verified",Engadget,1514779860000    ,classified,5a4468486f7af13a5a457c2f,IAB19-18,Internet Technology,Twitter pulls conspiracist's verified badge after celebrity outrage,Technology,story,https://www.engadget.com/2017/12/31/twitter-pulls-conspiracist-verification/
5a4a32ef670c7645a286b5f8,Jon Fingas,,"android, biometric, face unlock, gear, mobile, oneplus, oneplus5, oxygen os, smartphone",Engadget,1514774160000    ,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,OnePlus 5 beta adds the 5T's Face Unlock feature,Technology,story,https://www.engadget.com/2017/12/31/oneplus-5-beta-adds-face-unlock/
5a4a32ef670c7645a286b5fb,Mariella Moon,,"android, app, gear, ios, mobile, telegram",Engadget,1514752260000    ,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,Telegram for Android now supports multiple accounts,Technology,story,https://www.engadget.com/2017/12/31/telegram-multiple-account-android/
5a4a32ef670c7645a286b5fd,Jon Fingas,,"egypt, egyptology, gadgetry, gadgets, gear, history, mummy, papyrus, scanner, scanning, university college london",Engadget,1514807880000    ,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,Scanning technique reads hidden writing in mummy boxes,Technology,story,https://www.engadget.com/2018/01/01/scanners-can-read-hidden-writing-in-mummy-boxes/
5a4a32ef670c7645a286b5fe,Jon Fingas,,"android, gaming, gear, hq, intermedialabs, internet, mobile, smartphone, trivia",Engadget,1514763300000    ,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,Trivia hit HQ arrives on Android in time for New Year's Eve event,Technology,story,https://www.engadget.com/2017/12/31/hq-android-release/
5a4a332a670c7645a286b600,Jon Fingas,,"android, android auto, av, ces2018, gear, head unit, jvc, jvc kenwood, kenwood, mobile, smartphone, transportation",Engadget,1514685120000    ,classified,5a4468486f7af13a5a457c6c,IAB19-73,Google,Kenwood will be one of the first to offer wireless Android Auto,Technology,story,https://www.engadget.com/2017/12/30/kenwood-wireless-android-auto/
5a4a332a670c7645a286b604,Wirecutter,,"aukey, aukey latitude, av, epic2, gear, jaybird, jaybird x3, jlab, jlab epic2, latitude ep-b40, partner, syndicated, the wire cutter, wire cutter, wireless headphones, x3",Engadget,1514742000000    ,classified,5a4468486f7af13a5a457c5f,IAB19-66,Audio Video,The best wireless workout headphones,Technology,story,https://www.engadget.com/2017/12/31/the-best-wireless-workout-headphones/
5a4a332a670c7645a286b607,Jon Fingas,,"extremism, facebook, gear, google, government, internet, politics, tax, taxes, terrorism, uk",Engadget,1514746920000    ,classified,5a44d8d7527d3d3ad9df95b9,IAB12-1,Politics,UK may tax internet giants to get more help fighting online extremism,Technology,story,https://www.engadget.com/2017/12/31/uk-may-use-taxes-to-spur-cooperation-fighting-extremism/
5a4a332a670c7645a286b608,Jon Fingas,,"censorship, facebook, gear, instagram, internet, iran, mobile, politics, protest, telegram",Engadget,1514736660000    ,classified,5a4b39850978e16b1b883b97,IAB12-9,International News,Iran blocks internet services in bid to quash protests,Technology,story,https://www.engadget.com/2017/12/31/iran-blocks-internet-services-in-bid-to-quash-protests/
5a4a3419670c7645a286b62b,Ron Miller,https://tctechcrunch2011.files.wordpress.com/2017/12/gettyimages-133791230.jpg?w=210&h=158&crop=1,"Artificial Intelligence, Cloud, TC, voice computing, voice assistants, Amazon Echo, Werner Vogels, Roxy, Cisco, Synqq, sisense",techcrunch,1514749515000    ,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,Voice interfaces beginning to find their way into business,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/uberf4J3Mvc/
5a4a3456670c7645a286b634,Sam Hodges,https://tctechcrunch2011.files.wordpress.com/2015/03/binarymoney.jpg?w=210&h=158&crop=1,"Column, Finance, TC, irs, Internal Revenue Service, IRS Data Verification Modernization Act of 2017, Open Banking, Payment Services Directive",techcrunch,1514656854000    ,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,How a simple tech upgrade at the IRS could transform the economy,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/aap6ol9YPxY/
5a4b828e670c7645a286b792,Martin Welker,https://tctechcrunch2011.files.wordpress.com/2017/07/gettyimages-802824564-google-ai.jpg?w=210&h=158&crop=1,"AI, Artificial Intelligence, techcrunch",techcrunch,1514871039000    ,classified,5a4468486f7af13a5a457c6b,IAB19-72,Artificial Intelligence,Building AI systems that work is still hard,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/lK8YDseQ9j0/
5a4b828e670c7645a286b796,Jon Russell,https://tctechcrunch2011.files.wordpress.com/2017/11/bytedance-toutiao.jpg?w=210&h=158&crop=1,"Asia, Media, bytedance, Toutiao, Chinese, Startup",techcrunch,1514891426000    ,classified,5a4b39e40978e16b1b883b98,IAB12-10,Technology News,Fast-growing Chinese media startup ByteDance enters 2018 with some uncertainty,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/XKSBEQkbN3k/
5a4b828e670c7645a286b798,Natasha Lomas,https://tctechcrunch2011.files.wordpress.com/2015/09/butcher-pavel-durov-5.jpg?w=210&h=158&crop=1,"Apps, Government, Social, TC, social media, photo sharing, instagram, Telegram, Facebook, Instant Messaging, social messaging, iran, Pavel Durov, censorship",techcrunch,1514890981000    ,classified,5a4b39850978e16b1b883b97,IAB12-9,International News,Telegram and Instagram being restricted in Iran,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/cbAyGL1Xv68/
5a4b8305670c7645a286b7a5,Clive Thompson,https://media.wired.com/photos/5a21f82e576e434aa7de6c6b/master/pass/0118-WI-APTHOM-01_sq.jpg,"magazine-26.01, clean tech, clean energy, Solar, blockchain",wired,1514818800000    ,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,Clean Energy Is a Bright Spot Amid a Dark Tech Cloud,Business,story,https://www.wired.com/story/the-sunny-optimism-of-clean-energy-shines-through-techs-gloom
5a4b8305670c7645a286b7a8,Victoria Law,https://media.wired.com/photos/5a3fecdadab97f2b797c477f/master/pass/BAILBONDS2.jpg,"bail, apps, criminal justice",wired,1514894400000    ,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,This App Collects Spare Change to Bail People Out of Jail,Business,story,https://www.wired.com/story/this-app-collects-spare-change-to-bail-people-out-of-jail
5a4b83f6670c7645a286b7cf,Steve Dent,,"Airports, Customs, Delays, DHS, gear, Passports, security, transportation, US Customs",Engadget,1514880120000    ,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,A US customs computer snafu caused major airport delays,Technology,story,https://www.engadget.com/2018/01/02/a-us-customs-computer-snafu-caused-major-airport-delays/
5a4b83f6670c7645a286b7d3,Jon Fingas,,"android, android8.0, androidoreo, beta, gear, mobile, oneplus, oneplus 5t, open beta, oreo, oxygenos, smartphone",Engadget,1514851320000    ,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,Adventurous OnePlus 5T owners can try Android Oreo,Technology,story,https://www.engadget.com/2018/01/01/oneplus-5t-android-oreo-beta/
5a4b8432670c7645a286b7d5,Jon Fingas,,"egypt, egyptology, gadgetry, gadgets, gear, history, mummy, papyrus, scanner, scanning, university college london",Engadget,1514807880000    ,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,Scanning technique reads hidden writing in mummy boxes,Technology,story,https://www.engadget.com/2018/01/01/scanners-can-read-hidden-writing-in-mummy-boxes/
5a4b8432670c7645a286b7d9,Cherlynn Low,,"facebook, gear, germany, hatespeech, internet, law, socialmedia",Engadget,1514829840000    ,classified,5a4b39e40978e16b1b883b98,IAB12-10,Technology News,Germany's hefty hate speech fines for social networks start today,Technology,story,https://www.engadget.com/2018/01/01/germanys-hefty-hate-speech-fines-for-social-networks-start-toda/
5a4b8432670c7645a286b7dc,Jessica Conditt,,"av, bluehole, capture, gaming, minkonet, personal computing, personal computing, player unknowns battlegrounds, pubg, replay, twitch, youtube, youtube gaming",Engadget,1514824200000    ,classified,5a4468486f7af13a5a457c67,IAB19-68,Gaming,'PUBG' is quietly changing video games with its 3D replay technology,Technology,story,https://www.engadget.com/2018/01/01/pubg-playerunknowns-battlegrounds-3d-replay-minkonet-future/
5a4b85d7670c7645a286b820,Maria Popova,,"BOOKS, CULTURE, JOHN O'DONOHUE, PHILOSOPHY, POLITICS",Brain Pickings,1514825504000    ,classified,5a4468486f7af13a5a457c5d,IAB14-9,Culture,A Gentle Corrective for the Epidemic of Identity Politics Turning Us on Each Other and on Ourselves,Culture,story,http://feedproxy.google.com/~r/brainpickings/rss/~3/xMlCvohcU0g/
5a4cd40e670c7645a286b97b,Matthew Panzarino,https://tctechcrunch2011.files.wordpress.com/2015/05/shutterstock_227247589.jpg?w=210&h=158&crop=1,"TC, TechCrunch Startup Battlefield Dubai, Startup Battlefield, techcrunch startup battlefield, Startup Battlefield Dubai",techcrunch,1514981126000    ,classified,5a4468486f7af13a5a457c5e,IAB19-65,Startup,Apply today for TechCrunch‰Ûªs Startup Battlefield Dubai,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/5jTgODywBuw/
5a4cd40e670c7645a286b97c,Ingrid Lunden,https://tctechcrunch2011.files.wordpress.com/2017/05/gettyimages-163440757.jpg?w=210&h=158&crop=1,"China, didi, Brazil, 99, deal, acquisition",techcrunch,1514982683000    ,classified,5a4468486f7af13a5a457c62,IAB3-14,Acquisition,Report: China‰Ûªs Didi to buy Brazil‰Ûªs 99 in $1B deal to take on Latin America,All,story,http://feedproxy.google.com/~r/Techcrunch/~3/_oIIXoCXbA8/
5a4cd485670c7645a286b995,Erin Griffith,https://media.wired.com/photos/5a4c299681cb141366fdcfae/master/pass/CryptoStartUp-FeatureArt.jpg,"blockchain, cryptocurrency, startups",wired,1514980800000    ,classified,5a4db5ab9081ed0ff24b08d1,IAB3-19,Startup,Is Your Startup Stalled? Pivot to Blockchain,Business,story,https://www.wired.com/story/is-your-startup-stalled-pivot-to-blockchain
5a4cd4fd670c7645a286b9a5,Graeme McMillan,https://media.wired.com/photos/5a3d941229585a33ddc858ce/master/pass/DD_CLOCK_Cv2_open_order_var.jpg,"comics, DC Entertainment, dc comics, Justice League",wired,1514980800000    ,classified,5a4468486f7af13a5a457c5d,IAB14-9,Culture,Inside DC‰Ûªs Controversial 'Watchmen' and Justice League Crossover,Culture,story,https://www.wired.com/story/doomsday-clock-watchmen-justice-league
5a4cd5ee670c7645a286b9d2,Steve Dent,,"falcon heavy, gear, rocket, space, spacex, static firing, test, video",Engadget,1514980860000    ,classified,5a4b51510978e16b1b883bb4,IAB19-86,AeroSpace,SpaceX shows a video flyby of its Falcon Heavy rocket,Technology,story,https://www.engadget.com/2018/01/03/spacex-falcon-rocket-video-tour/
5a4e27ea670c7645a286bbcb,Nick Summers,,"automation, driverless trains, gear, glasgow, glasgow subway, scotland, tomorrow, transportation",Engadget,1515068700000    ,classified,5a4e2b9c8744ee7d5b5b6fa3,IAB19-87,Transportation,Glasgow subway trains will be the UK‰Ûªs first with no staff,Technology,story,https://www.engadget.com/2018/01/04/glasgow-subway-trains-driverless-staff-uk/
